序号,地区,企业名称,第三方评价机构,批次
1,上海,通用电气（中国）有限公司,上海绿色工业和产业发展促进会,1
2,江苏,德尔福电子（苏州）有限公司,杭州万泰认证有限公司,1
3,江苏,浙江天能电池（江苏）有限公司,瑞和安惠项目管理集团有限公司,1
4,浙江,宁波拓普集团股份有限公司,北京卡达克数据技术中心,1
5,山东,山东国舜建设集团有限公司,中国电子技术标准化研究院,1
6,山东,潍柴动力股份有限公司,中机生产力促进中心,1
7,湖南,远大空调有限公司,湖南中质信管理技术有限公司,1
8,广东,海信容声（广东）冷柜有限公司,广州赛宝认证中心服务有限公司,1
9,广东,TCL 集团股份有限公司,广州能源检测研究院,1
10,广东,广东美的制冷设备有限公司,广东省循环经济和资源综合利用协会,1
11,深圳,深圳创维-RGB 电子有限公司,中国电子技术标准化研究院,1
12,深圳,深圳市比克动力电池有限公司,中国电子技术标准化研究院,1
13,四川,四川长虹电器股份有限公司,中机生产力促进中心,1
14,甘肃,甘肃华壹环保技术服务有限公司,甘肃省建材科研设计院,1
15,新疆,新疆金风科技股份有限公司,新疆维吾尔自治区节能技术服务中心,1
1,河南,天能集团（河南）能源科技有限公司,瑞和安惠项目管理集团有限公司,2
2,广东,广东精艺金属股份有限公司,广东省循环经济和资源综合利用协会,2
3,四川,四川九州电子科技股份有限公司,广州赛宝认证中心服务有限公司,2
4,青岛,青岛海尔电冰箱有限公司,中国家用电器研究院,2
1,北京,富思特新材料科技发展股份有限公司,,2021
2,北京,同方威视技术股份有限公司,,2021
3,北京,北京ABB低压电器有限公司,,2021
4,北京,美巢集团股份公司,,2021
5,北京,利亚德光电股份有限公司,,2021
6,北京,甘李药业股份有限公司,,2021
7,北京,华润双鹤药业股份有限公司,,2021
8,北京,富泰京精密电子（北京）有限公司,,2021
9,天津,天津顶津食品有限公司,,2021
10,天津,康师傅（天津）饮品有限公司,,2021
11,天津,天津丹盛包装有限公司,,2021
12,天津,中沙（天津）石化有限公司,,2021
13,天津,禧天龙科技发展有限公司,,2021
14,天津,天津同阳科技发展有限公司,,2021
15,天津,科迈化工股份有限公司,,2021
16,天津,天津杰士电池有限公司,,2021
17,天津,天津置信电气有限责任公司,,2021
18,天津,天津赛象科技股份有限公司,,2021
19,天津,国网电商科技有限公司,,2021
20,天津,天津中荣印刷科技有限公司,,2021
21,天津,天津凌云高新汽车科技有限公司,,2021
22,天津,日立电梯（天津）有限公司,,2021
23,河北,宏启胜精密电子（秦皇岛）有限公司,,2021
24,河北,唐山海泰新能科技股份有限公司,,2021
25,河北,河北鼎星水泥有限公司,,2021
26,山西,广灵金隅水泥有限公司,,2021
27,山西,阳泉冀东水泥有限责任公司,,2021
28,内蒙古,内蒙古蒙牛乳业（集团）股份有限公司,,2021
29,辽宁,三一重型装备有限公司,,2021
30,辽宁,特变电工沈阳变压器集团有限公司,,2021
31,黑龙江,北安象屿金谷生化科技有限公司,,2021
32,上海,日立电梯（上海）有限公司,,2021
33,上海,上海三菱电机•上菱空调机电器有限公司,,2021
34,江苏,江苏阳光集团有限公司,,2021
35,江苏,双登集团股份有限公司,,2021
36,江苏,无锡江南电缆有限公司,,2021
