序号,地区,园区,第三方评价机构,批次
1,天津,天津经济技术开发区,中环联合（北京）认证中心有限公司,1
2,河北,河北安国现代中药工业园区,北京联合智业认证有限公司,1
3,内蒙古,内蒙古鄂托克经济开发区,中国电子信息产业发展研究院,1
4,内蒙古,乌海经济开发区海勃湾工业园,内蒙古弘和节能减排科技有限公司,1
5,吉林,长春高新技术产业开发区,中国电子技术标准化研究院,1
6,吉林,长春汽车经济技术开发区,中国电子技术标准化研究院,1
7,江苏,苏州工业园区,中国电子技术标准化研究院,1
8,江苏,江苏邳州经济开发区,江苏省南京市节能技术服务中心,1
9,江苏,苏州国家高新技术产业开发区,江苏省南京市节能技术服务中心,1
10,浙江,宁波石化经济技术开发区,广州赛宝认证中心服务有限公司,1
11,安徽,宁国经济技术开发区,中国赛宝实验室（工业和信息化部电子第五研究所),1
12,江西,丰城市循环经济园区,轻工业环境保护研究所,1
13,山东,聊城高新技术产业开发区,广州赛宝认证中心服务有限公司,1
14,山东,日照市北经济开发区,北京联合智业认证有限公司,1
15,湖南,浏阳高新技术产业开发区,湖南中质信管理技术有限公司,1
16,广东,惠州大亚湾石化产业园区,广州赛宝认证中心服务有限公司,1
17,海南,海南省洋浦经济开发区,中国国际工程咨询公司,1
18,重庆,璧山高新技术产业开发区,重庆市节能技术服务中心,1
19,贵州,贵州瓮安经济开发区,贵州省资源节约综合利用协会,1
20,云南,昆明经济技术开发区,云南省节能技术开发经营公司,1
21,宁夏,石嘴山经济技术开发区,甘肃省建材科研设计院,1
22,宁夏,宁夏回族自治区宁东能源化工基地,宁夏清洁发展机制环保服务中心,1
23,宁夏,银川高新技术产业开发区,宁夏清洁发展机制环保服务中心,1
24,新疆,乌鲁木齐经济技术开发区,浙江经纬工程项目管理有限公司,1
1,内蒙古,鄂尔多斯市鄂托克旗蒙西高新技术工业园区,中国电子信息产业发展研究院,2
2,上海,上海化学工业经济技术开发区,上海市能效中心,2
3,江苏,张家港经济技术开发区,江苏省南京市节能技术服务中心,2
4,江苏,江苏省泰兴经济开发区,广州赛宝认证中心服务有限公司,2
5,江苏,镇江经济技术开发区,江苏省南京市节能技术服务中心,2
6,江苏,江苏东台经济开发区,江苏省南京市节能技术服务中心,2
7,浙江,湖州现代物流装备高新技术产业园区,中国国际工程咨询公司,2
8,安徽,广德经济开发区,工业和信息化部电子第五研究所,2
9,安徽,安徽阜阳界首高新区田营产业园,马鞍山焓谷能源审计有限公司,2
10,山东,潍坊市高新技术开发区,工业和信息化部电子第五研究所,2
11,河南,洛阳高新技术产业开发区,广州赛宝认证中心服务有限公司,2
12,河南,红旗渠经济技术开发区,中国电子信息产业发展研究院,2
13,湖南,宁乡经济技术开发区,江西省科学院能源研究所,2
14,广西,桂林经济技术开发区,南宁市致协节能技术服务有限公司,2
15,四川,广元经济技术开发区,四川省循环经济协会,2
16,贵州,贵阳国家高新技术产业开发区,北京化工大学工业节能与绿色发展评价中心,2
17,云南,呈贡工业园区,南宁市致协节能技术服务有限公司,2
18,陕西,榆林经济技术开发区(榆神工业区),西安市节能技术服务中心,2
19,青海,西宁（国家级）经济技术开发区生物科技产业园区,宁夏清洁发展机制环保服务中心,2
20,宁夏,石嘴山生态经济开发区,甘肃省建材科研设计院,2
21,宁夏,银川经济技术开发区,宁夏清洁发展机制环保服务中心,2
22,新疆,哈密高新技术产业开发区,新疆维吾尔自治区节能技术服务中心,2
1,天津,天津子牙经济技术开发区,,2021
2,河北,河北沧州经济开发区,,2021
3,河北,河北省石家庄循环化工园区,,2021
4,山西,晋城经济技术开发区,,2021
5,山西,临汾经济开发区,,2021
6,内蒙古,包头稀土高新技术产业开发区,,2021
7,辽宁,沈阳-欧盟经济开发区,,2021
8,辽宁,辽阳高新技术产业开发区,,2021
9,上海,松江经济技术开发区,,2021
10,上海,上海市莘庄工业区,,2021
11,上海,上海金山工业区,,2021
12,江苏,无锡国家高新技术产业开发区,,2021
13,江苏,江苏省海安高新技术产业开发区,,2021
14,江苏,盐城经济技术开发区,,2021
15,浙江,浙江杭州青山湖科技城,,2021
16,浙江,浙江南浔经济开发区,,2021
17,浙江,浙江省温岭经济开发区,,2021
18,安徽,安徽阜南经济开发区,,2021
19,安徽,安徽滁州高新技术产业开发区,,2021
20,安徽,铜陵义安经济开发区,,2021
21,福建,漳州蓝田经济开发区,,2021
22,福建,三明高新技术产业开发区金沙园,,2021
23,福建,福建漳平工业园区,,2021
24,江西,九江经济技术开发区,,2021
25,江西,宜春丰城高新技术产业开发区,,2021
26,江西,瑞金经济技术开发区,,2021
27,山东,东营高新技术产业开发区,,2021
28,山东,济宁新材料产业园区,,2021
29,山东,肥城高新技术产业园区,,2021
30,河南,兰考县产业集聚区,,2021
31,河南,三门峡高新技术产业开发区,,2021
32,湖北,荆门高新技术产业开发区荆门化工循环产业园,,2021
33,湖南,长沙高新技术产业开发区,,2021
34,湖南,长沙经济技术开发区,,2021
35,湖南,湘潭经济技术开发区,,2021
36,广东,仲恺高新技术产业开发区,,2021
37,广西,广西百色工业园区,,2021
38,广西,贵港市产业园区,,2021
39,重庆,重庆两江新区鱼复工业开发区,,2021
40,重庆,重庆巴南工业园,,2021
41,四川,遂宁经济技术开发区,,2021
42,四川,四川内江高新技术产业开发区,,2021
43,四川,成都青白江经济开发区,,2021
44,贵州,贵州碧江高新技术产业开发区,,2021
45,贵州,黔南高新技术产业开发区,,2021
46,贵州,贵州龙里经济开发区,,2021
47,云南,普洱工业园区,,2021
48,甘肃,甘肃武威工业园区,,2021
49,宁夏,宁夏中宁工业园区,,2021
50,宁夏,宁夏青铜峡工业园区,,2021
51,新疆,奎屯-独山子经济技术开发区,,2021
52,青岛,青岛城阳工业园区,,2021
1,北京,北京经济技术开发区,华夏认证中心有限公司,3
2,天津,西青经济技术开发区,国瑞沃德（北京）低碳经济技术中心,3
3,河北,秦皇岛经济技术开发区,中环联合（北京）认证中心有限公司,3
4,河北,清河经济开发区,河北省电子信息产品监督检验院,3
5,内蒙古,包头装备制造产业园区,内蒙古蒙正工程咨询服务有限责任公司,3
6,江苏,扬州高新技术开发区环保科技产业园,中国标准化研究院,3
7,江苏,常州国家高新技术产业开发区,冶金工业规划研究院,3
8,江苏,南京经济技术开发区,江苏省、南京市节能技术服务中心,3
9,浙江,湖州经济技术开发区,中国国际工程咨询有限公司,3
10,安徽,安徽新芜经济开发区,工业和信息化部电子第五研究所,3
11,安徽,马鞍山经济技术开发区,马鞍山焓谷能源审计有限公司,3
12,安徽,桐城经济技术开发区,北京中创碳投科技有限公司,3
13,江西,南昌高新技术产业开发区,江西省科学院能源研究所,3
14,江西,上饶经济技术开发区,江西贝斯特节能环保服务有限公司,3
15,江西,井冈山经济技术开发区,深圳华测国际认证有限公司,3
16,江西,江西章贡高新技术产业园区,中国电子信息产业发展研究院,3
17,山东,烟台经济技术开发区,深圳华测国际认证有限公司,3
