序号,企业名称,产品名称,产品型号,推荐单位,地区,批次,种类,绿色设计亮点,适用评价标准
1,广州立白企业集团有限公司,威王十效全能厨房清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
2,广州立白企业集团有限公司,威王油烟机重油污净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
3,广州立白企业集团有限公司,威王植物厨房清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
4,广州立白企业集团有限公司,威王空调除菌清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
5,广州立白企业集团有限公司,威王多功能玻璃清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
6,广州立白企业集团有限公司,威王除重垢洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
7,广州立白企业集团有限公司,威王炫白洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
8,广州立白企业集团有限公司,超威强力洁厕精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
9,广州立白企业集团有限公司,超威亮滑洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
10,广州立白企业集团有限公司,超威除菌洁厕精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
