序号,时间,批次,名称,名单,网页
1,2017年8月23日,1,绿色工厂名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c5778010/part/5778089.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_86ea186823724500aecd3f870d3f7abb.html
2,2017年8月23日,1,绿色设计产品名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c5778010/part/5778090.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_86ea186823724500aecd3f870d3f7abb.html
3,2017年8月23日,1,绿色工业园区名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c5778010/part/5778091.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_86ea186823724500aecd3f870d3f7abb.html
4,2017年8月23日,1,绿色供应链管理示范企业名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c5778010/part/5778092.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_86ea186823724500aecd3f870d3f7abb.html
5,2018年2月11日,2,绿色工厂名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6066891/part/6066921.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_02972fcb01e64df0ad29aaf8844afafa.html
6,2018年2月11日,2,绿色设计产品名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6066891/part/6066922.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_02972fcb01e64df0ad29aaf8844afafa.html
7,2018年2月11日,2,绿色工业园区名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6066891/part/6066923.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_02972fcb01e64df0ad29aaf8844afafa.html
8,2018年2月11日,2,绿色供应链管理示范企业名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6066891/part/6066924.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_02972fcb01e64df0ad29aaf8844afafa.html
9,2018年10月29日,3,绿色工厂名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6471863/part/6472201.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_c2479dccd1fa492881c0487bbb014022.html
10,2018年10月29日,3,绿色设计产品名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6471863/part/6472202.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_c2479dccd1fa492881c0487bbb014022.html
11,2018年10月29日,3,绿色工业园区名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6471863/part/6472203.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_c2479dccd1fa492881c0487bbb014022.html
12,2018年10月29日,3,绿色供应链管理示范企业名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c6471863/part/6472204.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_c2479dccd1fa492881c0487bbb014022.html
13,2019年9月2日,4,绿色工厂名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c7413818/part/7413917.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_846fdb85098b4a56b1c202a5dd284f7c.html
14,2019年9月2日,4,绿色设计产品名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c7413818/part/7413930.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_846fdb85098b4a56b1c202a5dd284f7c.html
15,2019年9月2日,4,绿色工业园区名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c7413818/part/7413931.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_846fdb85098b4a56b1c202a5dd284f7c.html
16,2019年9月2日,4,绿色供应链管理示范企业名单,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n1146295/n1652858/n1652930/n3757016/c7413818/part/7413932.pdf,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/zh/art/2020/art_846fdb85098b4a56b1c202a5dd284f7c.html
17,2020年10月16日,5,绿色工厂名单,https://wap.miit.gov.cn/api-gateway/jpaas-web-server/front/document/file-download?fileUrl=/cms_files/filemanager/1226211233/attach/202010/c874bac2aa7b433d9e0a16830f876aa9.pdf&fileName=8140480.pdf,https://wap.miit.gov.cn/jgsj/jns/wjfb/art/2020/art_3d75f03cc9214d1f8ab92485df22d5e2.html
18,2020年10月16日,5,绿色设计产品名单,https://wap.miit.gov.cn/api-gateway/jpaas-web-server/front/document/file-download?fileUrl=/cms_files/filemanager/1226211233/attach/202010/45cd2208159748b38c394c5b4fe59d94.pdf&fileName=8140481.pdf,https://wap.miit.gov.cn/jgsj/jns/wjfb/art/2020/art_3d75f03cc9214d1f8ab92485df22d5e2.html
19,2020年10月16日,5,绿色工业园区名单,https://wap.miit.gov.cn/api-gateway/jpaas-web-server/front/document/file-download?fileUrl=/cms_files/filemanager/1226211233/attach/202010/2b60fd1bdd49477993b174fdbbe460ab.pdf&fileName=8140482.pdf,https://wap.miit.gov.cn/jgsj/jns/wjfb/art/2020/art_3d75f03cc9214d1f8ab92485df22d5e2.html
20,2020年10月16日,5,绿色供应链管理示范企业名单,https://wap.miit.gov.cn/api-gateway/jpaas-web-server/front/document/file-download?fileUrl=/cms_files/filemanager/1226211233/attach/202010/ce18f4baf16e454290f42d4a0e326202.pdf&fileName=8140483.pdf,https://wap.miit.gov.cn/jgsj/jns/wjfb/art/2020/art_3d75f03cc9214d1f8ab92485df22d5e2.html
21,2022年1月15日,2021,绿色工厂名单,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/202112/fb59803d4a71425e9bc21bdfc738d500.pdf,https://www.miit.gov.cn/jgsj/jns/wjfb/art/2022/art_5fd2d8c1056546618448ae9c4c1b0a66.html
22,2022年1月15日,2021,绿色设计产品名单,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/202112/34ab42044d204a68b335bbd1008496c9.pdf,https://www.miit.gov.cn/jgsj/jns/wjfb/art/2022/art_5fd2d8c1056546618448ae9c4c1b0a66.html
23,2022年1月15日,2021,绿色工业园区名单,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/202112/c8ca58dc67d7459faf92ec101778dba8.pdf,https://www.miit.gov.cn/jgsj/jns/wjfb/art/2022/art_5fd2d8c1056546618448ae9c4c1b0a66.html
24,2022年1月15日,2021,绿色供应链管理示范企业名单,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/202112/a91c5de7d42942d09d76afe9f36f0574.pdf,https://www.miit.gov.cn/jgsj/jns/wjfb/art/2022/art_5fd2d8c1056546618448ae9c4c1b0a66.html
